diaglocalcode,diagnosis
DC7780,Malignant neoplasm of lower lip NOS
DC7784,Malignant neoplasm of middle lobe_ bronchus or lung
DC7785,Unspecified nephritic syndrome with minor glomerular abnormality
DC7786,Unspecified nephrotic syndrome
DC7787,Other drug-induced osteomalacia in adults_ lower leg (fibula_ tibia_ knee joint)
DC7788,Unspecified adverse effect of drug or medicament
DC7789,Nonspecific intraventricular block
DC7790,Schizoaffective disorder_ manic type
DC7791,Follicular  lymphoma_ unspecified
DC7792,Unspecified injury of ankle and foot
DC7793,Other prurigo
DC7794,Sprain and strain of ribs
DC7795,Subluxation complex_ sacral region(sacrococcygeal_ sacroiliac)
DC7796,Trabecular Adenoma
DC7797,Rheumatic heart disease_ unspecified
DC7799,Hypothalamic dysfunction_ NEC
DC780,Radial styloid tenosynovitis[de Quervain]_ forearm
DC7800,Other emphysema
DC7801,Interstitial and deep keratitis
DC7805,Tonsillar aspergillosis
DC7806,Acute obstructive laryngitis [croup]
DC7808,Intraventricular (nontraumatic) hemorrhage_ grade 1_ of fetus and newborn
DC7809,Benign neoplasm of ovary_ Unspecified side
DC781,Sparganosis
DC7810,Other specified disorders of mulcle_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7813,Myopathy in endocrine diseases
DC7814,Toxic effect of chlorine gas
DC7815,Neoplasm of uncertain or unknown behavior of other urinary organs
DC7816,Other specified spondylopathies_ thoracolumbar region
DC7817,Primary angle closure glaucoma
DC7818,Ingrowing nails
DC7819,Other specified disorders of mulcle_ multiple sites
DC7820,Unspecified viral haemorragic fever
DC7821,Elevation of levels of transaminase and lactic acid dehydrogenase (LDH)
DC7824,Traumatic amputation of ear
DC7825,Mechanical complication of coronary artery bypass and valve grafts
DC7826,Other specified disorders of Eustachian tube
DC7828,Other specified acquired deformities of limbs_ site unspecified
DC783,Arthritis in other infectious and parasitic diseases classified elsewhere_ site unspecified
DC7830,Malignant neoplasm of parathyoid gland
DC7831,Inhalation of gastric contents_ unspecified place
DC7832,Premenstrual tension syndrome
DC7835,Predominantly obsessional thoughts or ruminations
DC7836,Abnormal ultrasonic finding on antenatal screening of mother
DC7838,Salmonella infection_ unspecified
DC7839,Disorders of tooth development_ unspecified
DC784,Acute suppurative otitis media
DC7840,Other dermatomyositis
DC7841,Unspecified osteoporosis with pathological fracture_ multiple sites
DC7842,Infantile idiopathic scoliosis_ site unspecified
DC7843,Other chronic osteomyelitis_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC7844,Traumatic anuria
DC7846,Asphyxiation
DC7847,Person on outside of bus injured in collision with car_ pick-up truck or van in traffic accident
DC7848,Adenocarcinoma NOS
DC7849,Spinal osteochondrosis_ unspecified_ site unspecified
DC785,Abnormal weight loss
DC7851,Infective myositis_ site unspecified
DC7852,Chest pain_ unspecified
DC7853,Other contracture of tendon (sheath)
DC7855,Pervasive developmental disorder_ unspecified
DC7857,Other vitreous opacities
DC7858,Osteoporosis in endocrine disorders_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7859,Multiple open wound of head
DC786,Sterilization
DC7860,Rectal fistula
DC7861,Intracranial injury_ unspecified_ without open intracranial wound
DC7865,Nephrotic syndrome with diffuse crescentic glomerulonephritis
DC7869,Polycythemia Vera(D45)
DC7870,Unspecified injury of shoulder and upper arm
DC7872,Malignant neoplasm of larynx_ unspecified
DC7873,Paget's Disease_ Extramammary (Except Paget's Disease of Bone)
DC7875,Sacrococcygeal disorders NEC_ site unspecified
DC7876,Retained portions of placenta and membranes_ without hemorrhage
DC7877,Herpesviral vesicular dermatitis
DC7880,Thyrotoxicosis_ unspecified
DC7881,Multiple fractures of femur_ open
DC7883,Burn of eye and adnexa_ part unspecified
DC7886,Other thyrotoxicosis
DC7888,Open wound of cheek and temporomandibular area
DC7889,Multiple Myeloma (C90.0)
DC7892,Inflammatory spondylopathy unspecified_ site unspecified
DC7893,Ulcerative(chronic) pancolitis
DC7895,Phobic anxiety disorder_ unspecified
DC7896,Malignant neoplasm of frontal sinus
DC7897,Other specified dorsopathies_ lumbar region
DC7899,Explosion and rupture of other specified pressurized devices_ home
DC79,Otitis externa in mycoses
DC790,Malignant neoplasm of supraglottis
DC7900,Poisoning by other agents primarily affecting the gastrointestinal system
DC7901,Acute conjunctivitis_ unspecified
DC7903,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
DC7905,Other urticaria
DC7907,Foreign body accidentally left in body cavity or operation wound following a procedure                                                          
DC7908,Fetus and newborn affected by other maternal conditions
DC7910,Poisoning by mineralocorticoids and their antagonists
DC7912,Respiratory syncytial virus pneumonia
DC7913,Injury of multiple pelvic organs_ with open wound into cavity
DC7914,Measles without complication
DC7915,Fracture of lower leg_ part unspecified_ open
DC7919,Haemarthrosis_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC792,Other benign neoplasms of cervix uteri
DC7920,Secondary and unspecified malignant neoplasm of  lymph nodes of head_ face and neck
DC7921,Hypopituitarism
DC7922,Acquired hemolytic anemia_ unspecified
DC7923,Muscle strain_ upper arm(humerus_ elbow joints)
DC7924,Hydrocephalus_ unspsecified
DC7925,Benign recurrent meningitis[Mollaret]
DC7926,Obstructed labour due to generally contracted pelvis
DC7928,Other specified female pelvic inflammatory diseases
DC793,Abdominal aortic aneurysm_ without mention of rupture
DC7930,Chronic instability of knee_ combined injury(meniscus_ cruciate ligament_ collateral ligament_ posterolateral structures)
DC7932,Other benign neoplasms of other male genital organ
DC7935,Fracture of enamel of tooth only
DC7937,Intracranial (nontraumatic) hemorrhage of fetus and newborn_ unspecified
DC7938,Hyperkinetic disorder_ unspecified
DC794,Other hydrocele
DC7941,Drug abuse counselling and surveillance
DC7944,Multiple fracture of metacarpal bones_ open
DC7945,Injury of adductor muscle and tendon of thigh
DC7946,Secondary malignant neoplasm of other specified sites
DC7947,Hepatoblastoma (C22.0)
DC7949,Fracture of crown with foot of tooth
DC795,Calculus in urethra
DC7951,Female infertility associated with male factors
DC7955,Arteriovenous fistula_ acquired
DC7956,Multiple fractures_ unspecified
DC7961,Ankylosing spondylitis_ Lumbosacral region
DC7963,Craniopharyngioma
DC7965,Acute laryngopharyngitis
DC7968,Juvenile arthritis in psoriasis_ site unspecified
DC7969,Radiculopathy_ thoracic region
DC7970,Myotonic disorders
DC7971,Synovial cyst of popliteal space[Baker]_ Lower leg                                                                                    
DC7972,Pain in limb_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC7973,Conjunctivitis_ unspecified
DC7974,Nonscarring hair loss_unspecified
DC7975,Bipolar affective disorder_ current episode severe depression with psychotic symptoms
DC7976,Sneezing
DC7978,Slow fetal growth_ unspecified
DC7979,Disease of capillaries_ unspecified
DC798,Other female intestinal-genital tract fistulae
DC7982,Fracture of medial wall of orbit
DC7983,Polycythemia vera
DC7984,Abnormal findings on microbiological examination of urine
DC7988,Acute cholecystitis
DC7989,Injury of intrinsic muscle and tendon of other finger at wrist and hand level
DC7990,Malignant neoplasm of oropharynx_ unspecified
DC7991,Traumatic amputation at level between knee and ankle
DC7992,Cerebral aneurysm_ nonruptured
DC7993,Iron deficiency anemia  secondary to blood loss(chronic)
DC7994,Acute bronchiolitis_ unspecified
DC7995,Malignant neoplasm of brain stem
DC7996,Spinal instabilities_ cervical region
DC7997,Other recurrent vertebral subluxation_ Cervical region
DC7998,Acute Monocytic Leukemia (C93.0)
DC7999,Fracture of lower leg_ part unspecified_ closed
DC8,Malignant neoplasm of spinal meninges
DC8000,Other disorders of vestibular function
DC8001,Derangement of meniscus due to old tear or injury_ Lateral collateral ligament or Anterior horn of lateral meniscus
DC8002,Other specified retinal disorders                                                                                    
DC8003,Chronic myeloid leukemia[CML]_BCR/ABL-positive
DC8004,Nosocomial condition
DC8006,Other and unspecified complications of amputation stump
DC8009,Other specified bullous disorders
DC801,Abnormal results of cardiovascular function studies
DC8010,Pre-existing malnutrition-related diabetes mellitus in pregnancy
DC8011,Other syncope and collapse
DC8013,Cyclothymia
DC8014,Postinfective urethral stricture_ NEC
DC8015,Dorsalgia_ unspecified_ cervicothoracic region
DC8019,Abnormal cytological findings in specimens from female genital organs
DC802,Crohn's disease of large intestine
DC8020,Acute gastric ulcer with hemorrhage
DC8021,Other infective bursitis_ site unspecified
DC8023,Other specified spondylopathies_ cervical region
DC8025,Klatskin'S Tumor (C22.1)
DC8026,Tinea pedis
DC8029,Laboratory examination
DC803,Enterobacterial spondylitis_ site unspecified
DC8031,Other specified disorders of choroid
DC8032,Neoplasm of uncertain or unknown behavior of urethra
DC8035,Congenital hypothyroidism with diffuse goitre
DC8037,Spinal stenosis_ lumbosacral region
DC8038,Dislocation of L1/L2 lumbar vertebra
DC8039,Malignant neoplasm of overlapping lesion of rectum_ anus and anal canal
DC804,Accidental poisoning by and exposure to other gases and vapors_ street and highway
DC8041,Mild depressive episode
DC8043,Injury of iliac blood vessels
DC8044,Post-traumatic arthrosis of other joints_ upper arm(humerus_ elbow joints)
DC8046,Other specified pleural conditions
DC8047,Expressive language disorder
DC8048,Foreign body granuloma of soft tissue NEC_ forearm(radius_ ulna_ wrist joints)
DC8049,Other and unspecified effects of high altitude
DC805,Other specified diseases of digestive system
DC8050,Pedestrian injured in collision with car_ pick-up truck or van in traffic accident
DC8051,Unspecified pre-existing hypertension complicating pregnancy_ childbirth and the puerperium
DC8052,Selective deficiency of immunoglobulin M[lgM]
DC8053,Injury of other nerves at ankle and foot level
DC8056,Refractory Anemia With Excess of Blasts (D46.2)
DC8058,Other and unspecified fascicular block
DC8059,Other infective otitis externa
DC8063,Foreign body granuloma of soft tissue NEC_ hand(carpus_ fingers_ metacarpus_ joints between these bones)
DC8066,Rheumatic myocarditis
DC8069,Disease of anus and rectum_ unspecified
DC807,Abscess of thymus
DC8071,Fracture ofother metacarpal bone base
DC8072,Other specified degenerative diseases of nervous system
DC8077,Other disorders of peritoneum in infectious diseases classified elsewhere
DC8078,Disorders of synovium and tendon_ unspecified
DC8079,Anomalies of tooth position
DC8081,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s)
DC8083,Systemic lupus erythematosus_ unspecified
DC8084,Subclinical iodine-deficiency hypothyroidism
DC8085,Hereditary motor and sensory neuropathy
DC8087,Benign neoplasm of tonsil
DC8089,Keratitis_ unspecified
DC8092,Spontaneous rupture of flexor tendons_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC8094,Endometriosis of ovary
DC8096,Other superficial injuries of shoulder and upper arm
DC8097,Pyogenic arthritis_ unspecified_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC8098,Tubulovillous Adenoma NOS
DC8099,Mixed disorder of scholastic skills
DC81,Leukemia_ unspecified
DC810,Other types of diffuse non-Hodgkin's lymphoma
DC8100,Cholera due to Vibrio cholerae 01_ biovar cholerae
DC8103,Injury to multiple structures of knee
DC8104,Phantom limb syndrome without pain
DC8105,Oligomenorrhea_ unspecified
DC8106,Unspecified complications following infusion_ transfusion and therapeutic injection
DC8109,Muscle wasting and atrophy NEC_ site unspecified
DC8110,Ventricular fibrillation and flutter
DC8111,Drug-induced Cushing's syndrome
DC8113,Pulmonary actinomycosis
DC8114,Other and unspecified abdominal pain
DC8115,Toxic liver disease with cholestasis
DC8116,Malignant melanoma of upper limb_ including shoulder
DC8117,Poisoning by other nonopioid analgesics_ antipyretics_ NEC
DC8118,Other internal derangement of knee_ Anterior cruciate ligament or Anterior horn of medial meniscus
DC8119,Neurofibrosarcoma
DC8120,Other infection of genital tract following delivery
DC8121,Fitting and adjustment of external breast prosthesis
DC8126,Fracture of other parts of lower leg
DC8127,Candidal stomatitis
DC8128,Chronic myelogenous leukemia_ BCR/ABL positive
DC8129,Traumatic arthropathy_ forearm(radius_ ulna_ wrist joints)
DC813,Unspecified kidney failure
DC8130,Abnormal microbiological findings in cerebrospinal fluid
DC8132,Other specified disorders of adult personality and behavior
DC8134,Other ill-defined heart diseases
DC8135,Myositis ossificans progressiva_ multiple sites
DC8136,Other forms of systemic lupus erythematosus
DC8137,Vesicovaginal fistula
DC8138,Other nontoxic goitre
DC8139,Thyroid hormones and substitutes causing adverse effects in therapeutic use
DC814,Malignant neoplasm of middle third of esophagus
DC8140,Myositis_ unspecified_ site unspecified
DC8141,Vomiting alone
DC8143,Polymyalgia rheumatica
DC8145,Death occurring less than 24 hours from onset of symptoms_ not otherwise explained
DC8146,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
DC8147,Idiopathic hypotension
DC8148,Flaccid paraplegia
DC8149,Sprain and strain of anterior cruciate ligament
DC8150,Retained intrauterine contraceptive device in pregnancy
DC8152,Injury of other cranial nerves
DC8153,Other spondylosis with myelopathy_ thoracic region
DC8154,Chronic osteomyelitis with draining sinus_ lower leg (fibula_ tibia_ knee joint)
DC8155,Hepatoblastoma
DC8156,Fracture of upper limb_ level unspecified_ open
DC8159,Coagulation defect_ unspecified
DC816,Infection and inflammatory reaction due to internal joint prosthesis
DC8161,Glioblastoma NOS
DC8162,Conjunctivitis in infectious and parasitic diseases classified elsewhere
DC8163,Non-Hodgkin's lymphoma_ unspecified type
DC8164,Meningitis in viral diseases classified elsewhere
DC8168,Pneumococcal arthritis and polyarthritis_ site unspecified
DC8169,Burn of first degree of head and neck
DC8170,Amblyopia ex anopsia
DC8171,Angina pectoris
